,time,retweet_count,text Positive Sentiment Score,text Negative Sentiment Score
361,2022-04-20 08:04:42+00:00,353,0.106,0.271
362,2022-04-20 07:51:47+00:00,1644,0.071,0.214
363,2022-04-20 07:51:38+00:00,163,0.115,0.141
364,2022-04-20 07:47:57+00:00,334,0.0,0.104
365,2022-04-20 07:34:09+00:00,473,0.0,0.0
366,2022-04-20 07:31:32+00:00,6730,0.0,0.238
367,2022-04-20 05:57:15+00:00,5725,0.0,0.152
368,2022-04-20 05:56:37+00:00,1654,0.049,0.093
369,2022-04-20 05:54:49+00:00,3673,0.0,0.0
370,2022-04-20 05:53:36+00:00,5504,0.0,0.0
371,2022-04-19 21:33:56+00:00,12930,0.135,0.09
372,2022-04-19 21:20:24+00:00,408,0.134,0.13
373,2022-04-19 21:11:50+00:00,1557,0.212,0.0
374,2022-04-19 21:10:16+00:00,3922,0.0,0.0
375,2022-04-19 20:22:09+00:00,8,0.182,0.08
376,2022-04-19 20:20:52+00:00,2265,0.0,0.18
377,2022-04-19 20:20:39+00:00,4149,0.0,0.0
378,2022-04-19 20:17:48+00:00,379,0.159,0.0
379,2022-04-19 20:15:15+00:00,240,0.0,0.0
380,2022-04-19 20:14:28+00:00,405,0.1,0.2
381,2022-04-19 20:11:00+00:00,856,0.214,0.147
382,2022-04-19 20:10:23+00:00,411,0.079,0.0
383,2022-04-19 19:44:16+00:00,60,0.096,0.206
384,2022-04-19 19:42:34+00:00,201,0.0,0.271
385,2022-04-19 19:34:27+00:00,395,0.0,0.106
386,2022-04-19 19:34:09+00:00,1400,0.204,0.072
387,2022-04-19 19:33:43+00:00,2157,0.0,0.114
388,2022-04-19 19:33:35+00:00,1893,0.077,0.157
389,2022-04-19 19:32:38+00:00,3144,0.061,0.0
390,2022-04-19 18:20:13+00:00,580,0.101,0.075
391,2022-04-19 18:19:59+00:00,1011,0.09,0.224
392,2022-04-19 18:15:55+00:00,7255,0.105,0.0
393,2022-04-19 17:45:46+00:00,1,0.0,0.067
394,2022-04-19 17:37:52+00:00,1,0.0,0.0
